"1144018-NGRAMS1.txt","Rape in the Criminal Justice System"
"1143974-NGRAMS1.txt","The Proportionality Review of Capital Cases by State High Courts after \"Gregg\": Only \"The Appearance of Justice\"?"
"1144319-NGRAMS1.txt","The Tenuous Relationship between the Fight against Money Laundering and the Disruption of Criminal Finance"
"20685020-NGRAMS1.txt","THE GRAND JURY LEGAL ADVISOR: RESURRECTING THE GRAND JURY'S SHIELD"
"20685055-NGRAMS1.txt","THE CRIMINALIZATION OF POVERTY"
"1144154-NGRAMS1.txt","Policing Possession: The War on Crime and the End of Criminal Law"
"3491383-NGRAMS1.txt","Sentencing the Green-Collar Offender: Punishment, Culpability, and Environmental Crime"
"3491382-NGRAMS1.txt","The Paradox of Private Policing"
"1144208-NGRAMS1.txt","Fourth Amendment Privacy Interests"
"3491307-NGRAMS1.txt","It's Not Always about the Money: Why the State Identity Theft Laws Fail to Adequately Address Criminal Record Identity Theft"
"1144163-NGRAMS1.txt","Reforming American Penal Law"
"1144138-NGRAMS1.txt","Responding to Child Homicide: A Statutory Proposal"
"1144137-NGRAMS1.txt","Emergency Circumstances, Police Responses, and Fourth Amendment Restrictions"
"3491342-NGRAMS1.txt","The Decline of the Juvenile Death Penalty: Scientific Evidence of Evolving Norms"
"1143934-NGRAMS1.txt","The Impact of \"Miranda\" Revisited"
"20753687-NGRAMS1.txt","THE UNDERMINING INFLUENCE OF THE FEDERAL DEATH PENALTY ON CAPITAL POLICYMAKING AND CRIMINAL JUSTICE ADMINISTRATION IN THE STATES"
"1144164-NGRAMS1.txt","The Collapse of the Harm Principle"
"3491323-NGRAMS1.txt","Foreword: Beyond Blakely and Booker: Pondering Modern Sentencing Process"
"40042843-NGRAMS1.txt","A Tripartite Solution to Eyewitness Error"
"1144230-NGRAMS1.txt","Small Favors: Chapter 154 of the Antiterrorism and Effective Death Penalty Act, the States, and the Right to Counsel"
"1143951-NGRAMS1.txt","Three Strikes: Can We Return to Rationality?"
"3491306-NGRAMS1.txt","Drug Courts and the De Facto Legalization of Drug Use for Participants in Residential Treatment Facilities"
"1144218-NGRAMS1.txt","Getting out of This Mess: Steps toward Addressing and Avoiding Inordinate Delay in Capital Cases"
"40042790-NGRAMS1.txt","The Crime of Complicity in Genocide: How the International Criminal Tribunals for Rwanda and Yugoslavia Got It Wrong, and Why It Matters"
"40042869-NGRAMS1.txt","The Politics of Policing: Ensuring Stakeholder Collaboration in the Federal Reform of Local Law Enforcement Agencies"
"40042825-NGRAMS1.txt","Police Interrogation of Juveniles: An Empirical Study of Policy and Practice"
